Lat, Lng, Quality
19.113861, 72.899714, 4
19.114226, 72.899961, 4
19.114520, 72.900143, 3
19.114814, 72.900379, 3
19.115088, 72.900540, 4
19.115483, 72.900765, 4
19.115787, 72.900905, 4
19.116122, 72.900991, 4
19.116456, 72.900916, 4
19.116740, 72.900808, 4
19.116943, 72.900991, 3
19.116923, 72.901259, 2
19.116923, 72.901549, 2
19.116882, 72.901892, 2
19.116862, 72.902182, 2
19.116842, 72.902503, 2
19.117186, 72.902579, 3
19.117541, 72.902611, 3
19.117876, 72.902675, 2
19.118109, 72.902772, 1
19.118078, 72.903094, 2
19.117957, 72.903458, 1
19.117835, 72.903791, 0
19.117774, 72.904199, 0
19.117754, 72.904563, 0
19.117693, 72.905025, 1
19.117693, 72.905368, 1
19.117693, 72.905711, 4
19.117794, 72.906151, 4
